Date,Description,Amount,Category
2024-11-29,Family Outing Mar,2937,Entertainment
2024-11-06,Stationery,1137,Education
2024-03-10,Books Purchase,1186,Education
2024-11-23,Books Purchase,1339,Education
2024-04-11,Rickshaw Monthly,160,Transport
2024-04-07,Rickshaw,203,Transport
2024-03-06,Medicine Purchase,703,Health
2024-11-26,Shoes,3310,Shopping
2024-08-07,Rickshaw,142,Transport
2024-06-29,Rickshaw,178,Transport
2024-08-05,Netflix Monthly,995,Entertainment
2024-03-18,Shoes,2374,Shopping
2024-07-06,Petrol,4830,Transport
2024-08-06,Lab Test Monthly,1563,Health
2024-12-08,Cinema,611,Entertainment
2024-12-21,Stationery,738,Education
2024-09-14,Mobile Package,1023,Bills & Rent
2024-10-20,Bike Service Payment,1772,Transport
2024-07-19,House Rent,28893,Bills & Rent
2024-06-14,Family Outing Online,4153,Entertainment
2024-02-14,Clothes Shopping,5875,Shopping
2024-05-03,Cinema,1200,Entertainment
2024-02-21,Shoes Feb,3162,Shopping
2024-12-29,Medical Store Payment,3059,Shopping
2024-10-06,Cinema,1050,Entertainment
2024-10-21,Grocery Store Feb,7119,Shopping
2024-12-21,Grocery Store,4464,Shopping
2024-12-06,Bus Ticket,95,Transport
2024-04-02,University Fee Payment,13046,Education
2024-09-17,Clothes Shopping,5453,Shopping
2024-04-28,Bykea Ride,293,Transport
2024-12-24,Student Biryani,263,Food
2024-05-01,Bus Ticket,106,Transport
2024-09-12,Stationery Monthly,1073,Education
2024-09-09,House Rent Jan,23607,Bills & Rent
2024-06-22,House Rent,23530,Bills & Rent
2024-05-19,Books Purchase,1831,Education
2024-09-23,Internet Bill Monthly,2703,Bills & Rent
2024-06-23,University Fee Online,19751,Education
2024-12-05,University Fee,16948,Education
2024-09-22,University Fee,14814,Education
2024-12-22,Books Purchase,1778,Education
2024-03-09,Doctor Visit,2157,Health
2024-08-10,Lab Test,2839,Health
2024-11-27,Cinema,1133,Entertainment
2024-02-24,Gas Bill,1868,Bills & Rent
2024-11-22,Medical Store,1856,Shopping
2024-05-12,House Rent,39285,Bills & Rent
2024-08-15,Medicine Purchase,2731,Health
2024-08-09,Cinema,1440,Entertainment
2024-03-16,Chai,118,Food
2024-03-29,Netflix,1279,Entertainment
2024-03-29,Books Purchase Bill,2423,Education
2024-12-06,Water Bill Payment,1346,Bills & Rent
2024-10-30,Internet Bill,2715,Bills & Rent
2024-05-26,Gas Bill,2471,Bills & Rent
2024-09-21,Bykea Ride,224,Transport
2024-01-08,Netflix,1088,Entertainment
2024-02-15,Stationery,595,Education
2024-02-02,Grocery Store,2613,Shopping
2024-05-03,Bike Service,1556,Transport
2024-03-26,Rickshaw,131,Transport
2024-09-12,Lab Test Mar,1600,Health
2024-08-31,Lab Test Payment,3344,Health
2024-08-11,Petrol,8058,Transport
2024-12-13,Shoes,1750,Shopping
2024-11-23,Family Outing,2026,Entertainment
2024-12-19,Online Order,2463,Shopping
2024-08-02,Internet Bill,3911,Bills & Rent
2024-11-02,Clothes Shopping,3407,Shopping
2024-10-11,Bus Ticket,73,Transport
2024-01-06,Family Outing Online,4469,Entertainment
2024-12-22,Chai,86,Food
2024-10-01,Mobile Package,1165,Bills & Rent
2024-08-18,University Fee Jan,22038,Education
2024-02-08,Grocery Store,3584,Shopping
2024-01-26,Stationery,946,Education
2024-02-12,Stationery Cash,208,Education
2024-08-16,Stationery,616,Education
2024-09-15,University Fee Mar,14576,Education
2024-06-19,Doctor Visit,1407,Health
2024-05-05,Lab Test,1359,Health
2024-07-21,Internet Bill,3952,Bills & Rent
2024-08-24,Stationery,333,Education
2024-01-23,University Fee Feb,16392,Education
2024-10-31,Bykea Ride,156,Transport
2024-05-24,Gas Bill,734,Bills & Rent
2024-01-20,Home Groceries,3862,Food
2024-09-26,Online Order,3799,Shopping
2024-08-14,Student Biryani,272,Food
2024-09-12,Bus Ticket,118,Transport
2024-09-26,University Fee,16947,Education
2024-07-08,Lab Test,2176,Health
2024-07-16,Internet Bill Mar,2603,Bills & Rent
2024-11-23,Grocery Store Payment,6052,Shopping
2024-12-20,Milk,270,Food
2024-06-17,University Fee,9893,Education
2024-08-22,Cinema,1023,Entertainment
2024-07-15,Student Biryani,344,Food
2024-02-19,Bike Service,779,Transport
2024-05-02,Water Bill,1449,Bills & Rent
2024-11-23,Clothes Shopping,2444,Shopping
2024-09-06,Stationery Feb,896,Education
2024-11-07,Home Groceries,4306,Food
2024-03-26,Fruit Vendor,391,Food
2024-08-26,Petrol,6503,Transport
2024-03-28,Family Outing Payment,2723,Entertainment
2024-09-05,Bike Service,1574,Transport
2024-11-03,Online Order,2133,Shopping
2024-09-05,Medical Store Jan,1842,Shopping
2024-12-03,Online Order,1029,Shopping
2024-09-26,Bus Ticket,58,Transport
2024-07-23,Gas Bill,1743,Bills & Rent
2024-02-25,Rickshaw,106,Transport
2024-12-18,Cinema,835,Entertainment
2024-12-04,Doctor Visit,2009,Health
2024-07-12,Family Outing,3739,Entertainment
2024-04-21,Shoes,3563,Shopping
2024-09-06,Gas Bill,1391,Bills & Rent
2024-08-29,Shoes,2950,Shopping
2024-01-17,Medical Store Jan,900,Shopping
2024-12-27,Gas Bill,1728,Bills & Rent
2024-04-08,Cinema Online,1067,Entertainment
2024-11-04,Stationery Monthly,383,Education
2024-08-08,Stationery Jan,1084,Education
2024-07-14,University Fee,10872,Education
2024-10-10,Internet Bill Jan,3892,Bills & Rent
2024-06-07,Lab Test,2687,Health
2024-10-24,University Fee,18670,Education
2024-12-02,Clothes Shopping Jan,2645,Shopping
2024-07-22,Bike Service,703,Transport
2024-11-09,Milk,270,Food
2024-05-30,Doctor Visit,940,Health
2024-08-02,Bike Service Jan,1697,Transport
2024-10-13,Internet Bill,2423,Bills & Rent
2024-04-27,Rickshaw Payment,160,Transport
2024-07-29,Medicine Purchase,2031,Health
2024-07-31,Doctor Visit,845,Health
2024-09-26,Bykea Ride,256,Transport
2024-02-01,Doctor Visit Cash,1233,Health
2024-04-08,Family Outing Monthly,3500,Entertainment
2024-11-04,Books Purchase,1387,Education
2024-09-25,Online Order,3814,Shopping
2024-07-28,Internet Bill,3766,Bills & Rent
2024-01-06,Stationery,1080,Education
2024-04-05,Grocery Store,5034,Shopping
2024-04-06,Clothes Shopping Payment,3043,Shopping
2024-10-16,Electricity Bill,3909,Bills & Rent
2024-10-23,Home Groceries,3896,Food
2024-05-15,Bus Ticket,85,Transport
2024-01-26,Clothes Shopping Online,2707,Shopping
2024-08-05,Mobile Package Online,1393,Bills & Rent
2024-03-29,Medicine Purchase,752,Health
2024-09-17,Rickshaw Feb,188,Transport
2024-09-26,Bus Ticket,52,Transport
2024-08-17,Medical Store,1903,Shopping
2024-07-17,Stationery,508,Education
2024-06-30,Books Purchase,1534,Education
2024-06-29,Doctor Visit,2990,Health
2024-09-11,Student Biryani,299,Food
2024-10-16,Student Biryani,254,Food
2024-04-07,Grocery Store,5104,Shopping
2024-03-10,Bykea Ride,280,Transport
2024-05-26,University Fee Jan,14276,Education
2024-08-17,Rickshaw Cash,297,Transport
2024-05-29,Chai,146,Food
2024-05-15,Lab Test,2471,Health
2024-11-22,Cinema,1491,Entertainment
2024-08-10,Mobile Package,1336,Bills & Rent
2024-11-25,Books Purchase,2902,Education
2024-11-26,Bike Service,1698,Transport
2024-05-11,Medicine Purchase,2186,Health
2024-06-23,Gas Bill,1371,Bills & Rent
2024-07-31,Lab Test Bill,2714,Health
2024-08-17,Bike Service,731,Transport
2024-06-28,University Fee,15443,Education
2024-01-30,Medicine Purchase Payment,882,Health
2024-06-03,Family Outing,3916,Entertainment
2024-05-15,Cinema Jan,672,Entertainment
2024-04-22,Water Bill Online,390,Bills & Rent
2024-01-30,Gas Bill,2050,Bills & Rent
2024-05-17,Student Biryani,346,Food
2024-04-28,House Rent Bill,30425,Bills & Rent
2024-02-14,Family Outing,3980,Entertainment
2024-04-05,Chai Online,91,Food
2024-01-11,Cinema,683,Entertainment
2024-08-12,Shoes Payment,2637,Shopping
2024-05-16,Fruit Vendor,765,Food
2024-03-05,Clothes Shopping,3351,Shopping
2024-03-05,Clothes Shopping Mar,2644,Shopping
2024-11-25,Medicine Purchase,2035,Health
2024-03-09,Petrol,5209,Transport
2024-10-24,Medicine Purchase Jan,1501,Health
2024-05-14,Books Purchase Online,944,Education
2024-01-11,Stationery Monthly,877,Education
2024-02-20,Family Outing,4384,Entertainment
2024-03-22,Family Outing,2751,Entertainment
2024-06-02,Gas Bill,618,Bills & Rent
2024-09-03,Stationery Mar,950,Education
2024-11-20,Medicine Purchase,2612,Health
2024-02-04,Home Groceries,4942,Food
2024-05-17,Water Bill Online,911,Bills & Rent
2024-05-17,Bykea Ride,257,Transport
2024-09-26,Cinema Payment,785,Entertainment
2024-07-11,Rickshaw Online,157,Transport
2024-06-20,Electricity Bill,11412,Bills & Rent
2024-01-12,Water Bill Monthly,1322,Bills & Rent
2024-04-04,Electricity Bill Mar,3464,Bills & Rent
2024-08-03,Fruit Vendor,719,Food
2024-05-22,Bus Ticket,112,Transport
2024-09-15,Lab Test,1790,Health
2024-11-27,Online Order Jan,3708,Shopping
2024-01-06,University Fee,21694,Education
2024-11-08,Cinema,684,Entertainment
2024-01-27,Fruit Vendor,404,Food
2024-03-10,Rickshaw,196,Transport
2024-06-15,Netflix Feb,917,Entertainment
2024-02-26,Medical Store,1697,Shopping
2024-10-06,Water Bill,539,Bills & Rent
2024-06-30,Books Purchase,951,Education
2024-05-12,Internet Bill Cash,2288,Bills & Rent
2024-12-24,Lab Test,2434,Health
2024-09-27,Family Outing Payment,2710,Entertainment
2024-07-20,Netflix,937,Entertainment
2024-12-23,Books Purchase Monthly,851,Education
2024-06-23,Doctor Visit Monthly,1772,Health
2024-10-27,University Fee,9833,Education
2024-01-12,University Fee,15585,Education
2024-12-08,Petrol,7738,Transport
2024-01-04,Lab Test,2035,Health
2024-08-07,Stationery,402,Education
2024-06-10,Online Order Feb,1365,Shopping
2024-06-02,Rickshaw,243,Transport
2024-02-01,Books Purchase,2303,Education
2024-06-21,Medicine Purchase,1214,Health
2024-11-12,Bykea Ride Cash,213,Transport
2024-06-22,Bus Ticket,82,Transport
2024-10-05,Netflix,1204,Entertainment
2024-07-28,Fruit Vendor,475,Food
2024-08-30,Online Order,4043,Shopping
2024-05-31,Family Dinner Cash,2351,Food
2024-02-24,Medical Store,2348,Shopping
2024-06-26,Family Outing Bill,3754,Entertainment
2024-03-29,Lab Test,1775,Health
2024-01-24,Lab Test,2866,Health
2024-10-06,Bus Ticket,71,Transport
2024-06-23,Doctor Visit Feb,982,Health
2024-07-03,Gas Bill,1139,Bills & Rent
2024-12-03,Stationery Mar,764,Education
2024-07-14,Medicine Purchase,1950,Health
2024-01-03,Chai,81,Food
2024-03-03,Milk,205,Food
2024-07-04,Grocery Store,3378,Shopping
2024-12-22,Stationery Payment,923,Education
2024-01-31,Cinema Mar,1341,Entertainment
2024-12-08,University Fee,19332,Education
2024-10-28,Bike Service Jan,1313,Transport
2024-07-31,Online Order,1048,Shopping
2024-05-30,Bike Service,1254,Transport
2024-09-04,Grocery Store,5479,Shopping
2024-10-16,Medicine Purchase,1355,Health
2024-09-16,Gas Bill Feb,1304,Bills & Rent
2024-05-28,Books Purchase,2212,Education
2024-04-23,Grocery Store,5357,Shopping
2024-06-10,Bike Service Jan,1805,Transport
2024-04-06,Bus Ticket,54,Transport
2024-05-02,Petrol,6408,Transport
2024-06-14,Electricity Bill,7136,Bills & Rent
2024-11-10,Medicine Purchase,2556,Health
2024-08-30,Bykea Ride,287,Transport
2024-01-12,Electricity Bill,8906,Bills & Rent
2024-05-20,Doctor Visit,940,Health
2024-02-21,Bike Service,1186,Transport
2024-09-07,Chai,75,Food
2024-06-17,Clothes Shopping,4565,Shopping
2024-01-01,Fruit Vendor,747,Food
2024-02-19,Grocery Store,4485,Shopping
2024-12-29,Bus Ticket Monthly,92,Transport
2024-11-25,Netflix,1121,Entertainment
2024-08-24,Doctor Visit,855,Health
2024-12-07,Shoes,2261,Shopping
2024-09-12,Internet Bill,2143,Bills & Rent
2024-09-12,Rickshaw Online,126,Transport
2024-08-10,Books Purchase,2504,Education
2024-10-04,Books Purchase,2566,Education
2024-10-29,Home Groceries Bill,3485,Food
2024-04-25,Cinema Payment,867,Entertainment
2024-02-27,Bus Ticket,86,Transport
2024-10-16,Doctor Visit,2460,Health
2024-04-13,Student Biryani,283,Food
2024-11-24,Fruit Vendor,680,Food
2024-11-30,Books Purchase,1562,Education
2024-02-21,Bus Ticket,104,Transport
2024-08-11,Books Purchase Cash,2988,Education
2024-10-28,University Fee Feb,13128,Education
2024-12-23,Grocery Store Feb,6172,Shopping
2024-04-21,Water Bill,818,Bills & Rent
2024-09-04,Fruit Vendor Cash,765,Food
2024-06-20,Stationery,629,Education
2024-08-04,Fruit Vendor,399,Food
2024-05-25,Clothes Shopping,4911,Shopping
2024-09-13,Family Dinner Jan,1442,Food
2024-11-26,Gas Bill,2342,Bills & Rent
2024-01-28,Family Dinner,1894,Food
2024-03-14,Grocery Store,3514,Shopping
2024-10-05,Student Biryani,349,Food
2024-12-06,Shoes,1819,Shopping
2024-06-08,Bus Ticket,71,Transport
2024-10-09,Chai Monthly,136,Food
2024-07-15,Stationery,973,Education
2024-02-29,Online Order,1136,Shopping
2024-08-03,Lab Test,3360,Health
2024-12-17,Bike Service,1050,Transport
2024-09-23,Petrol,7745,Transport
2024-02-18,Netflix Jan,1157,Entertainment
2024-12-12,Grocery Store,4397,Shopping
2024-07-13,Office Lunch,255,Food
2024-02-29,Bus Ticket,61,Transport
2024-04-12,University Fee,19290,Education
2024-12-09,Lab Test,3466,Health
2024-06-13,Family Outing,4377,Entertainment
2024-09-29,Family Outing,1540,Entertainment
2024-02-11,Milk,176,Food
2024-08-26,Stationery Cash,653,Education
2024-03-31,Stationery,1033,Education
2024-02-06,Stationery,962,Education
2024-04-25,Netflix,994,Entertainment
2024-07-15,Family Outing,2344,Entertainment
2024-11-03,Stationery Monthly,281,Education
2024-03-15,Netflix,1155,Entertainment
2024-06-13,Student Biryani Mar,321,Food
2024-12-21,Medicine Purchase,2996,Health
2024-10-02,Medicine Purchase,308,Health
2024-10-08,Cinema,1414,Entertainment
2024-08-25,Water Bill,457,Bills & Rent
2024-07-30,Books Purchase Cash,1399,Education
2024-03-03,Family Outing,1973,Entertainment
2024-03-24,Family Dinner,2579,Food
2024-09-15,Stationery Feb,300,Education
2024-12-21,Netflix,1280,Entertainment
2024-09-02,Mobile Package,356,Bills & Rent
2024-08-13,Grocery Store,3327,Shopping
2024-12-13,Student Biryani Mar,247,Food
2024-12-27,Rickshaw,271,Transport
2024-09-11,Books Purchase,2974,Education
2024-07-22,Mobile Package Monthly,941,Bills & Rent
2024-12-01,Doctor Visit,2977,Health
2024-10-08,Bus Ticket Mar,75,Transport
2024-01-09,Family Dinner,2945,Food
2024-08-25,Stationery,557,Education
2024-09-19,Medical Store Online,2281,Shopping
2024-09-19,Lab Test,1926,Health
2024-08-30,Shoes Feb,1771,Shopping
2024-09-02,Stationery,901,Education
2024-12-25,University Fee,19289,Education
2024-11-25,Home Groceries,5946,Food
2024-04-02,Netflix,1248,Entertainment
2024-12-11,Online Order,3631,Shopping
2024-08-16,Grocery Store,7452,Shopping
2024-06-10,Lab Test,1853,Health
2024-01-06,Books Purchase Jan,1233,Education
2024-02-03,Mobile Package Online,1278,Bills & Rent
2024-07-02,Online Order,5457,Shopping
2024-09-09,Lab Test,1024,Health
2024-11-09,Rickshaw,194,Transport
2024-05-17,House Rent Online,39803,Bills & Rent
2024-06-19,Electricity Bill,3990,Bills & Rent
2024-08-03,Lab Test Cash,2732,Health
2024-11-28,Mobile Package,577,Bills & Rent
2024-02-25,Internet Bill,3411,Bills & Rent
2024-08-15,Lab Test Monthly,3365,Health
2024-04-03,Family Outing,3012,Entertainment
2024-03-09,Medicine Purchase,2820,Health
2024-11-08,Books Purchase,2067,Education
2024-05-03,University Fee,15269,Education
2024-04-05,Netflix,922,Entertainment
2024-04-22,Medical Store,2516,Shopping
2024-02-22,Grocery Store Payment,6530,Shopping
2024-06-03,Bus Ticket,42,Transport
2024-11-30,Medicine Purchase,361,Health
2024-09-18,Lab Test,1158,Health
2024-04-03,Family Outing Feb,2188,Entertainment
2024-03-06,Medicine Purchase Monthly,2837,Health
2024-04-25,Petrol,6219,Transport
2024-10-15,Office Lunch,391,Food
2024-12-08,Internet Bill Online,2186,Bills & Rent
2024-04-10,Rickshaw,160,Transport
2024-07-18,Netflix,1199,Entertainment
2024-09-06,Lab Test Feb,3390,Health
2024-04-13,Home Groceries Payment,3195,Food
2024-09-19,Cinema,860,Entertainment
2024-02-11,Netflix Bill,998,Entertainment
2024-09-23,Netflix Jan,1004,Entertainment
2024-03-30,Books Purchase Cash,1236,Education
2024-01-23,Lab Test Feb,3169,Health
2024-12-27,Grocery Store,5108,Shopping
2024-01-01,Medical Store,3135,Shopping
2024-02-06,Petrol,4300,Transport
2024-10-24,Fruit Vendor,491,Food
2024-07-11,Family Outing,3797,Entertainment
2024-06-03,Home Groceries,2052,Food
2024-06-11,Office Lunch Mar,449,Food
2024-04-08,Cinema Online,857,Entertainment
2024-04-04,Medical Store,3151,Shopping
2024-07-16,Grocery Store Feb,3386,Shopping
2024-01-19,House Rent,28436,Bills & Rent
2024-12-01,Milk,258,Food
2024-11-06,House Rent,35026,Bills & Rent
2024-09-23,Cinema,856,Entertainment
2024-12-21,Cinema,1208,Entertainment
2024-10-21,University Fee,24015,Education
2024-02-07,Stationery,672,Education
2024-10-01,House Rent,34673,Bills & Rent
2024-04-10,Online Order,5630,Shopping
2024-06-10,Electricity Bill,5676,Bills & Rent
2024-06-04,Doctor Visit,2076,Health
2024-04-07,Home Groceries Feb,4187,Food
2024-08-16,Medicine Purchase Jan,1358,Health
2024-09-11,Online Order,2406,Shopping
2024-01-14,Grocery Store,4454,Shopping
2024-12-27,Lab Test Monthly,2893,Health
2024-06-04,Online Order Mar,5318,Shopping
2024-07-19,Books Purchase,2571,Education
2024-05-02,Online Order,5852,Shopping
2024-10-31,Bus Ticket Online,102,Transport
2024-08-29,Petrol Cash,6561,Transport
2024-11-17,Books Purchase,1127,Education
2024-06-29,Shoes,1745,Shopping
2024-10-20,Stationery Monthly,708,Education
2024-07-02,Medicine Purchase,678,Health
2024-07-04,Stationery,1166,Education
2024-06-29,Family Outing Cash,2310,Entertainment
2024-08-16,Medicine Purchase,2462,Health
2024-04-19,Grocery Store Feb,6117,Shopping
2024-05-16,Home Groceries,3572,Food
2024-04-11,Medicine Purchase,1691,Health
2024-01-27,Books Purchase,2629,Education
2024-10-09,Grocery Store,6742,Shopping
2024-10-10,Shoes Online,2502,Shopping
2024-05-17,Medicine Purchase,342,Health
2024-11-13,Doctor Visit,2039,Health
2024-04-20,Family Dinner Feb,2778,Food
2024-12-10,Petrol,8782,Transport
2024-09-05,Doctor Visit,1686,Health
2024-03-09,Bike Service,1324,Transport
2024-02-18,Netflix,1150,Entertainment
2024-05-05,Lab Test Jan,2907,Health
2024-04-26,Mobile Package,971,Bills & Rent
2024-06-15,Office Lunch,264,Food
2024-10-18,Bykea Ride,243,Transport
2024-03-04,Shoes,2315,Shopping
2024-04-16,Medical Store,946,Shopping
2024-11-13,Water Bill,1206,Bills & Rent
2024-12-08,Bike Service,1751,Transport
2024-04-03,Medicine Purchase,606,Health
2024-06-29,Bike Service,1833,Transport
2024-03-29,Family Outing,2885,Entertainment
2024-01-01,Medicine Purchase,2668,Health
2024-11-04,Student Biryani,297,Food
2024-11-06,Grocery Store,5597,Shopping
2024-05-20,Rickshaw,185,Transport
2024-06-07,Cinema,1286,Entertainment
2024-11-06,Books Purchase,2842,Education
2024-01-09,Cinema,880,Entertainment
2024-08-28,Rickshaw,146,Transport
2024-11-03,Lab Test Online,3994,Health
2024-12-26,Bus Ticket,111,Transport
2024-01-20,Cinema Cash,1498,Entertainment
2024-08-12,Lab Test,3503,Health
2024-11-21,Medicine Purchase Online,2621,Health
2024-04-08,University Fee,9396,Education
2024-04-24,Lab Test Monthly,3959,Health
2024-05-03,Cinema,867,Entertainment
2024-04-10,Online Order,3971,Shopping
2024-08-24,Doctor Visit,1600,Health
2024-06-09,Netflix,1032,Entertainment
2024-04-03,University Fee,19185,Education
2024-01-26,Doctor Visit,2152,Health
2024-02-10,Family Outing Monthly,2411,Entertainment
2024-09-19,Petrol,5484,Transport
2024-01-12,Medicine Purchase,684,Health
2024-05-12,Bykea Ride Mar,222,Transport
2024-04-14,Petrol,3821,Transport
2024-06-11,Books Purchase,1982,Education
2024-10-26,Bykea Ride,231,Transport
2024-09-26,University Fee Online,9020,Education
2024-06-24,Medicine Purchase,1348,Health
2024-03-19,Cinema,746,Entertainment
2024-11-13,Stationery Jan,689,Education
2024-06-28,Grocery Store,7743,Shopping
2024-07-06,Medicine Purchase,1281,Health
2024-10-09,Family Outing,3401,Entertainment
2024-11-14,Family Outing,4068,Entertainment
2024-03-02,Home Groceries Jan,3207,Food
2024-11-02,Bike Service Monthly,755,Transport
2024-09-29,Electricity Bill,6960,Bills & Rent
2024-07-15,Doctor Visit,1259,Health
2024-12-19,Family Outing,2679,Entertainment
2024-02-07,Cinema,1029,Entertainment
2024-12-29,Mobile Package,658,Bills & Rent
2024-07-28,Family Outing Feb,3402,Entertainment
2024-09-17,Medical Store,2583,Shopping
2024-06-22,Mobile Package,955,Bills & Rent
2024-12-22,Medical Store,2352,Shopping
2024-12-12,Medicine Purchase,1421,Health
2024-09-28,Bus Ticket Feb,109,Transport
2024-01-06,Grocery Store,4486,Shopping
2024-07-26,Electricity Bill,5191,Bills & Rent
2024-04-10,Internet Bill,3277,Bills & Rent
2024-12-07,Milk,223,Food
2024-11-26,Bus Ticket,117,Transport
2024-08-01,Gas Bill Jan,1753,Bills & Rent
2024-03-28,Student Biryani,257,Food
2024-02-29,Medicine Purchase,938,Health
2024-06-18,Family Outing,1865,Entertainment
2024-04-08,Family Dinner,2522,Food
2024-10-16,Milk,233,Food
2024-12-18,Doctor Visit,1705,Health
2024-01-16,Medical Store Mar,3266,Shopping
2024-12-12,Netflix,1105,Entertainment
2024-06-09,Shoes,4293,Shopping
2024-01-18,Medicine Purchase,2877,Health
2024-10-30,Stationery Bill,623,Education
2024-01-04,Bike Service,1595,Transport
2024-10-28,Gas Bill Payment,1117,Bills & Rent
2024-09-25,Netflix Payment,927,Entertainment
2024-03-26,Lab Test,1948,Health
2024-11-18,Bike Service,1052,Transport
2024-10-20,Shoes,2021,Shopping
2024-07-28,Fruit Vendor Cash,678,Food
2024-01-15,Fruit Vendor,453,Food
2024-10-13,Student Biryani Payment,201,Food
2024-03-09,Clothes Shopping,4306,Shopping
2024-11-15,Bykea Ride,228,Transport
2024-12-01,Lab Test,3508,Health
2024-07-15,Medical Store,1181,Shopping
2024-07-30,Medicine Purchase,496,Health
2024-03-05,Books Purchase,2618,Education
2024-02-13,Grocery Store Feb,4624,Shopping
2024-11-17,Fruit Vendor,459,Food
2024-09-30,Online Order,2904,Shopping
2024-07-10,Family Outing,2745,Entertainment
2024-08-01,Lab Test Online,3758,Health
2024-08-05,Medicine Purchase,1100,Health
2024-04-30,Family Outing Feb,3178,Entertainment
2024-03-12,Mobile Package Jan,1011,Bills & Rent
2024-09-07,Bike Service,846,Transport
2024-03-31,Petrol,4638,Transport
2024-03-27,Clothes Shopping,3865,Shopping
2024-01-08,Family Outing Online,4303,Entertainment
2024-08-24,Bykea Ride,138,Transport
2024-08-30,Books Purchase,877,Education
2024-06-17,Books Purchase,2493,Education
2024-08-09,Rickshaw,181,Transport
2024-09-08,Family Outing,2545,Entertainment
2024-11-12,Netflix,1039,Entertainment
2024-02-02,Grocery Store Payment,5084,Shopping
2024-01-14,Gas Bill,1380,Bills & Rent
2024-06-30,Doctor Visit,2852,Health
2024-08-09,Bus Ticket Payment,111,Transport
2024-12-09,Bykea Ride,236,Transport
2024-11-15,Family Outing,4298,Entertainment
2024-03-04,Online Order,4821,Shopping
2024-10-03,Fruit Vendor,603,Food
2024-10-13,Family Outing,3211,Entertainment
2024-01-08,Internet Bill,3856,Bills & Rent
2024-01-13,Medicine Purchase,2701,Health
2024-12-07,Clothes Shopping,4967,Shopping
2024-03-30,Internet Bill Mar,2308,Bills & Rent
2024-07-31,Rickshaw Monthly,282,Transport
2024-08-18,Bykea Ride,123,Transport
2024-10-23,Chai Mar,106,Food
2024-01-25,Grocery Store,7564,Shopping
2024-05-07,Medicine Purchase,344,Health
2024-10-22,Family Outing,3465,Entertainment
2024-10-20,Office Lunch Cash,467,Food
2024-03-16,Doctor Visit Feb,1927,Health
2024-07-31,Books Purchase Jan,1963,Education
2024-06-16,Bus Ticket Jan,44,Transport
2024-03-10,Water Bill,1246,Bills & Rent
2024-06-08,Fruit Vendor Jan,741,Food
2024-09-06,Cinema,1343,Entertainment
2024-03-17,Milk,258,Food
2024-03-06,House Rent Jan,44823,Bills & Rent
2024-09-23,Bus Ticket Monthly,40,Transport
2024-08-16,Clothes Shopping,3985,Shopping
2024-08-07,University Fee,12151,Education
2024-02-03,Cinema,1277,Entertainment
2024-10-22,Online Order,1549,Shopping
2024-04-13,Bike Service,713,Transport
2024-07-23,House Rent Bill,23130,Bills & Rent
2024-07-06,Shoes Bill,4223,Shopping
2024-04-23,Mobile Package Feb,725,Bills & Rent
2024-09-09,Family Dinner,1405,Food
2024-10-20,Medicine Purchase,1910,Health
2024-02-18,Clothes Shopping,5044,Shopping
2024-04-11,Medical Store,2052,Shopping
2024-08-06,Lab Test,3510,Health
2024-06-13,Petrol,7052,Transport
2024-10-19,Stationery,906,Education
2024-07-31,Netflix,928,Entertainment
2024-12-16,Medicine Purchase,354,Health
2024-09-01,Clothes Shopping,5959,Shopping
2024-02-18,Books Purchase,2547,Education
2024-10-04,Netflix,1051,Entertainment
2024-06-20,Cinema Monthly,888,Entertainment
2024-03-30,Medical Store,2577,Shopping
2024-01-11,Stationery,314,Education
2024-08-18,Student Biryani Jan,348,Food
2024-05-20,University Fee,13527,Education
2024-04-09,Bike Service,831,Transport
2024-07-15,Mobile Package Online,1125,Bills & Rent
2024-02-17,Family Outing Feb,3547,Entertainment
2024-07-11,Netflix,941,Entertainment
2024-11-23,Stationery,289,Education
2024-09-18,Medical Store,2695,Shopping
2024-11-22,Cinema,832,Entertainment
2024-02-13,Medicine Purchase,1462,Health
2024-10-21,University Fee,19824,Education
2024-11-19,University Fee,9573,Education
2024-01-25,Student Biryani,305,Food
2024-11-27,House Rent,43236,Bills & Rent
2024-12-14,Books Purchase,2280,Education
2024-07-27,Mobile Package,927,Bills & Rent
2024-05-03,Rickshaw,140,Transport
2024-10-17,Medical Store,952,Shopping
2024-03-15,Clothes Shopping,5389,Shopping
2024-01-03,Medicine Purchase,2818,Health
2024-03-18,Doctor Visit,1551,Health
2024-11-26,Electricity Bill,9124,Bills & Rent
2024-08-11,Family Outing,1534,Entertainment
2024-07-03,Netflix,1260,Entertainment
2024-04-28,Lab Test,2079,Health
2024-07-06,Gas Bill,442,Bills & Rent
2024-11-22,Water Bill Monthly,647,Bills & Rent
2024-07-18,Books Purchase,1789,Education
2024-04-21,Family Dinner Mar,1966,Food
2024-07-16,Fruit Vendor Payment,396,Food
2024-03-25,University Fee Bill,21523,Education
2024-07-25,University Fee,20116,Education
2024-04-06,Family Dinner Bill,1700,Food
2024-05-08,Shoes Online,1824,Shopping
2024-01-27,Medicine Purchase,1963,Health
2024-01-14,Lab Test,3095,Health
2024-05-06,Books Purchase,1999,Education
2024-04-03,Fruit Vendor Bill,485,Food
2024-12-02,Medical Store Online,1156,Shopping
2024-02-21,Mobile Package Monthly,822,Bills & Rent
2024-11-07,Gas Bill Payment,2381,Bills & Rent
